relation_type	related_work	related_person	start_date	end_date
1049	http://schnitzler-werkimport/work_2603	pmb11391		
1049	http://schnitzler-werkimport/work_2604	pmb11391		
1049	http://schnitzler-werkimport/work_3121	pmb11701		
1049	http://schnitzler-werkimport/work_3110	pmb11701		
1049	http://schnitzler-werkimport/work_3112	pmb11701		
1049	http://schnitzler-werkimport/work_3118	pmb11701		
1049	http://schnitzler-werkimport/work_3113	pmb11701		
1049	http://schnitzler-werkimport/work_3115	pmb11701		
1049	http://schnitzler-werkimport/work_3116	pmb11701		
1049	http://schnitzler-werkimport/work_3119	pmb11701		
1049	http://schnitzler-werkimport/work_3123	pmb11701		
1049	http://schnitzler-werkimport/D283_n1_w1	pmb12078		
1049	http://schnitzler-werkimport/D283_n1_w6	pmb12078		
1049	http://schnitzler-werkimport/D283_n1_w8	pmb12078		
1049	http://schnitzler-werkimport/D283_n1_w5	pmb12078		
1049	http://schnitzler-werkimport/work_3674	pmb12078		
1049	http://schnitzler-werkimport/work_3675	pmb12078		
1049	http://schnitzler-werkimport/work_3671	pmb12078		
1049	http://schnitzler-werkimport/work_3671	pmb8722		
1049	http://schnitzler-werkimport/work_3672	pmb12078		
1049	http://schnitzler-werkimport/work_3673	pmb12078		
1049	http://schnitzler-werkimport/D283_n1_w3	pmb12078		
1049	http://schnitzler-werkimport/D283_n1_w4	pmb12078		
1049	http://schnitzler-werkimport/D283_n1_w7	pmb12078		
1049	http://schnitzler-werkimport/work_3722	pmb2570		
1049	http://schnitzler-werkimport/work_3723	pmb2570		
1049	http://schnitzler-werkimport/work_1355	pmb6069		
1049	http://schnitzler-werkimport/work_1355	pmb2570		
1049	http://schnitzler-werkimport/work_2780	pmb7499		
1049	http://schnitzler-werkimport/work_2780	pmb2570		
1049	http://schnitzler-werkimport/work_3719	pmb2570		
1049	http://schnitzler-werkimport/work_3720	pmb2570		
1049	http://schnitzler-werkimport/work_3721	pmb2570		
1049	http://schnitzler-werkimport/work_3717	pmb2570		
1049	http://schnitzler-werkimport/work_5220	pmb12974		
1049	http://schnitzler-werkimport/work_5219	pmb12974		
1049	http://schnitzler-werkimport/work_3946	pmb12251		
1049	http://schnitzler-werkimport/N44_n1_w4_t1	pmb12251		
1049	http://schnitzler-werkimport/N44_n1_w1_t1	pmb12251		
1049	http://schnitzler-werkimport/N44_n1_w4_o1	pmb12251		
1049	http://schnitzler-werkimport/N44_n1_w2_t1	pmb12251		
1049	http://schnitzler-werkimport/N44_n1_w2_o1	pmb12251		
1049	http://schnitzler-werkimport/N44_n1_w3	pmb12251		
1049	http://schnitzler-werkimport/work_2997	pmb2404		
1049	http://schnitzler-werkimport/work_3004	pmb2404		
1049	http://schnitzler-werkimport/work_2996	pmb2404		
1049	http://schnitzler-werkimport/work_3000	pmb2404		
1049	http://schnitzler-werkimport/work_3001	pmb2404		
1049	http://schnitzler-werkimport/work_5306	pmb13007		
1049	http://schnitzler-werkimport/work_5317	pmb13007		
1049	http://schnitzler-werkimport/work_5310	pmb13007		
1049	http://schnitzler-werkimport/work_5307	pmb13007		
1049	http://schnitzler-werkimport/work_5311	pmb13007		
1049	http://schnitzler-werkimport/work_5309	pmb13007		
1049	http://schnitzler-werkimport/work_5312	pmb13007		
1049	http://schnitzler-werkimport/work_5313	pmb13007		
1049	http://schnitzler-werkimport/work_5314	pmb13007		
1049	http://schnitzler-werkimport/work_5315	pmb13007		
1049	http://schnitzler-werkimport/work_1408	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w2_t1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w3_t1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w4_t1	pmb10825		
1049	http://schnitzler-werkimport/work_1414	pmb10825		
1049	http://schnitzler-werkimport/work_1410	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w13	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w16	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w24_t1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w18	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w7_t1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w7_o1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w9	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w20	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w2_o1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w12	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w3_o1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w4_o1	pmb10825		
1049	http://schnitzler-werkimport/F3_n1_w14	pmb10825		
