id	name	start_date	end_date	kind
http://schnitzler-werkimport/work_3720	Die Seele Spaniens			
http://schnitzler-werkimport/work_3721	Die Tantaliden			
http://schnitzler-werkimport/work_3717	Rausch			
http://schnitzler-werkimport/work_5220	Der Liquidator			1149
http://schnitzler-werkimport/work_5219	Endlich allein			1057
http://schnitzler-werkimport/work_3946	1812			
http://schnitzler-werkimport/N44_n1_w4_t1	1812. Der ewige Schlaf	1912	1912	
http://schnitzler-werkimport/N44_n1_w1_t1	Abelö	1900	1900	
http://schnitzler-werkimport/N44_n1_w4_o1	Den evige Søvn	1912	1912	
http://schnitzler-werkimport/N44_n1_w2_t1	Giovanna	1905	1905	
http://schnitzler-werkimport/N44_n1_w2_o1	Giovanna. En historia från staden med de vackra tornen	1901	1901	
http://schnitzler-werkimport/N44_n1_w3	Novellen	1922	1922	
http://schnitzler-werkimport/work_2997	Der Diamant			1097
http://schnitzler-werkimport/work_3004	Der Rubin			1097
http://schnitzler-werkimport/work_2996	Friedrich Hebbels Briefwechsel mit Freunden und berühmten Zeitgenossen			
http://schnitzler-werkimport/work_3000	Herodes und Mariamne			1097
http://schnitzler-werkimport/work_3001	Judith			1097
http://schnitzler-werkimport/work_5306	Briefe			1791
http://schnitzler-werkimport/work_5317	Der Troubadour			1059
http://schnitzler-werkimport/work_5310	Die Macht des Schicksals			1059
http://schnitzler-werkimport/work_5307	Don Carlos			1059
http://schnitzler-werkimport/work_5311	Ein Maskenball			1059
http://schnitzler-werkimport/work_5309	Luisa Miller			1059
http://schnitzler-werkimport/work_5312	Missa da Requiem			
http://schnitzler-werkimport/work_5313	Otello (Othello)			1059
http://schnitzler-werkimport/work_5314	Rigoletto			1059
http://schnitzler-werkimport/work_5315	Simone Boccanegra			1059
http://schnitzler-werkimport/work_1408	Beatrix			1060
http://schnitzler-werkimport/F3_n1_w2_t1	Capitain Paz	1873	1873	
http://schnitzler-werkimport/F3_n1_w3_t1	Das Haus zur ballspielenden Katze	1884	1884	
http://schnitzler-werkimport/F3_n1_w4_t1	Die Blutrache	1841	1846	
http://schnitzler-werkimport/work_1414	Die Lilie im Tal			1060
http://schnitzler-werkimport/work_1410	Drollige Erzählungen			1342
http://schnitzler-werkimport/F3_n1_w13	Étude de femmes	1830	1830	
http://schnitzler-werkimport/F3_n1_w16	Eugénie Grandet	1834	1834	
http://schnitzler-werkimport/F3_n1_w24_t1	Glanz und Elend der Kurtisanen	1909	1909	1060
