relation_type	uri	related_work	start_date	end_date
1884	http://schnitzler-werkimport/F47_n1_w2_t1	http://schnitzler-werkimport/F47_n1_w2_o1	1927	1927
1884	http://schnitzler-werkimport/F130_n1_w1_t1	http://schnitzler-werkimport/F130_n1_w1_o1	1756	1756
1884	http://schnitzler-werkimport/N19_n1_w1_t1	http://schnitzler-werkimport/N19_n1_w1_o1	1906	1906
1884	http://schnitzler-werkimport/N19_n1_w3_t1	http://schnitzler-werkimport/N19_n1_w3_o1	1902	1902
1884	http://schnitzler-werkimport/N19_n1_w2_t1	http://schnitzler-werkimport/N19_n1_w2_o1	1909	1909
1884	http://schnitzler-werkimport/R15_n1_w1_t1	http://schnitzler-werkimport/R15_n1_w1_o1	1905	1905
1884	http://schnitzler-werkimport/D17_n1_w1_t1	http://schnitzler-werkimport/D17_n1_w1_o1	1907	1907
1884	http://schnitzler-werkimport/D28_n1_w1_t1	http://schnitzler-werkimport/D28_n1_w1_o1	1845	1845
1884	http://schnitzler-werkimport/D138_n1_w1_t1	http://schnitzler-werkimport/D138_n1_w1_o1	1920	1920
1884	http://schnitzler-werkimport/work_3007	http://schnitzler-werkimport/D195_n1_w1_o1		
1884	http://schnitzler-werkimport/D351_n1_w1_t1	http://schnitzler-werkimport/D351_n1_w1_o1	1902	1902
1884	http://schnitzler-werkimport/F1_n1_w2_t1	http://schnitzler-werkimport/F1_n1_w2_o1	1885	1885
1884	http://schnitzler-werkimport/F1_n1_w1_t1	http://schnitzler-werkimport/F1_n1_w1_o1	1886	1886
1884	http://schnitzler-werkimport/F11_n1_w3_t1	http://schnitzler-werkimport/F11_n1_w3_o1	1884	1884
1884	http://schnitzler-werkimport/F11_n1_w2_t1	http://schnitzler-werkimport/F11_n1_w2_o1	1887	1887
1884	http://schnitzler-werkimport/F14_n1_w1_t1	http://schnitzler-werkimport/F14_n1_w1_o1	1914	1914
1884	http://schnitzler-werkimport/F16_n1_w1_t1	http://schnitzler-werkimport/F16_n1_w1_o1	1914	1914
1884	http://schnitzler-werkimport/F24_n1_w1_t1	http://schnitzler-werkimport/F24_n1_w1_o1	1875	1875
1884	http://schnitzler-werkimport/F26_n1_w4_t1	http://schnitzler-werkimport/F26_n1_w4_o1	1867	1867
1884	http://schnitzler-werkimport/F27_n1_w1_t1	http://schnitzler-werkimport/F27_n1_w1_o1	1910	1910
1884	http://schnitzler-werkimport/F28_n1_w2_t1	http://schnitzler-werkimport/F28_n1_w2_o1	1892	1892
1884	http://schnitzler-werkimport/F28_n1_w1_t1	http://schnitzler-werkimport/F28_n1_w1_o1	1883	1883
1884	http://schnitzler-werkimport/F28_n1_w3_t1	http://schnitzler-werkimport/F28_n1_w3_o1	1888	1888
1884	http://schnitzler-werkimport/F29_n1_w1_t1	http://schnitzler-werkimport/F29_n1_w1_o1	1817	1817
